episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
80,2,stage_2a,-0.5,0.0,0.0,1014.5227994259043,True,False,False,1.3410495142946834,0.2331329584121704,1.5810735395054047,0.3465182601893313,0.3465182601893313,1.2345552793160735,157,1.0,0.0,145.35,940.4036977743468,running,0.0,96.56855773925781,0.13618479669094086
81,2,stage_2a,-0.5,0.0,0.0,990.9508039052072,True,False,False,1.617443017959896,0.12187085300683975,1.7879933519576205,0.34754772063078715,0.34754772063078715,1.4404456313268335,174,1.0,0.0,147.2,944.8214497704533,running,0.0,37.50642395019531,0.13298042118549347
82,2,stage_2a,-0.5,0.0,0.0,974.0344366596887,True,False,False,1.3509766632616567,0.21092985570430756,1.581073487079156,0.3467903741575465,0.3467903741575465,1.2342831129216096,147,1.0,0.0,147.7,947.3839933282943,running,-444.10137939453125,41.85479736328125,0.13135306537151337
83,2,stage_2a,-0.5,0.0,0.0,946.7532772334384,True,False,False,1.3208048796285883,0.20234763622283936,1.581075562007224,0.3484508821357926,0.3484508821357926,1.2326246798714315,157,1.0,0.0,148.25,949.5447135873632,running,0.0,88.55517578125,0.1293458193540573
84,2,stage_2a,-0.5,0.0,0.0,952.4817670728426,True,False,False,1.3320299984311532,0.21041157841682434,1.5810734900761527,0.3477110478095172,0.3477110478095172,1.2333624422666354,158,1.0,0.0,149.3,950.42930365894,running,0.0,274.5201721191406,0.1279316544532776
85,2,stage_2a,-0.5,0.0,0.0,1014.3501716947488,True,False,False,1.354902584890019,0.2405705749988556,1.581073470694188,0.3419652490454485,0.3419652490454485,1.2391082216487395,156,1.0,0.0,150.0,955.20977779305,running,0.0,48.91309356689453,0.12589214742183685
86,2,stage_2a,-0.5,0.0,0.0,988.0953032779017,True,False,False,1.3415527036286716,0.22282083332538605,1.5810734733770668,0.3493132714236654,0.3493132714236654,1.2317602019534015,158,1.0,0.0,150.7,957.6830247828291,running,0.0,35.92437744140625,0.12417992204427719
87,2,stage_2a,-0.5,0.0,0.0,1002.3993709011851,True,False,False,1.3369495941603646,0.23994675278663635,1.5810734635502561,0.34491310686716886,0.34491310686716886,1.2361603566830872,152,1.0,0.0,151.25,960.5885390222713,running,0.0,112.8836669921875,0.12211620062589645
88,2,stage_2a,-0.5,0.0,0.0,-301.56240114540947,False,False,True,1.5958953455067246,0.12118524312973022,1.5810734739754877,1.9382722164518063,1.4937860882910954,-0.35719874247631855,250,0.95,0.0,156.8,899.0974765205677,running,0.0,334.56854248046875,0.11955071240663528
89,2,stage_2a,-0.5,0.0,0.0,-19.98099740483097,False,False,True,1.8439023288117646,0.2842915952205658,1.5810615300597255,0.514398172437587,0.514398172437587,1.0666633576221385,250,0.9,0.0,162.2,852.5637633702688,promoted,0.0,559.9810791015625,0.12112922966480255
90,3,stage_2b,-0.3,0.0,0.0,1003.9249311931026,True,False,False,1.5163126707791952,0.22099021077156067,1.7719405247133195,0.3471411342769792,0.3471411342769792,1.4247993904363403,180,1.0,0.0,180.0,1003.9249311931026,running,0.0,717.1412963867188,0.12009871006011963
91,3,stage_2b,-0.3,0.0,0.0,1029.3031222107682,True,False,False,1.5894573006121524,0.3209439516067505,1.7719376816908656,0.34828409206648325,0.34828409206648325,1.4236535896243825,193,1.0,0.0,186.5,1016.6140267019354,running,-356.1477355957031,159.4262237548828,0.11693492531776428
